"Gene.symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"COBL"	1.78180743245383	2.58736561560684	12.8229069817726	1.19973137579064e-09	4.52491905759004e-08	12.5307417390653
"CCL7"	1.7781862638518	4.16247720408754	11.6826485985862	4.45779541391304e-09	1.29669401892941e-07	11.0004460581317
"KIAA1958"	1.7695323388814	2.99031779072487	14.9567271082444	1.31384015677558e-10	7.49646874067911e-09	14.7240248198932
"GPR34"	-1.76120982532116	5.07821869427684	-16.0686240046833	4.61909781263972e-11	3.28949818273571e-09	15.6767555530297
"MASTL"	1.75411588078034	4.17819605023568	13.8637378501521	3.93249970630814e-10	1.83262721915438e-08	13.5038832902173
"TTC21A"	1.74556328513151	2.05855397994916	10.0264381210676	3.65050341596777e-08	7.71808335048197e-07	9.14569739292695
"JADE2"	1.74411510762791	4.22219617320627	11.5167597537816	5.44257789332356e-09	1.51863278459163e-07	10.7829850248237
"CYP27B1"	1.74163726583406	7.09819159567444	25.5825537135654	4.49177082853094e-14	1.15887687376098e-11	22.5908442856696
"TOR1B"	1.73630416819369	5.79325455911361	22.693126631465	2.73755042322781e-13	5.18445453556399e-11	20.8054797443265
"MIR4751"	1.73590544207001	1.6956552428323	12.1895528857056	2.4563712771382e-09	8.09783731029893e-08	11.8114474724074
"SERPINB9"	1.73517348656487	3.80039890818888	12.6832732767313	1.40145010161666e-09	5.154672460533e-08	12.2517834396148
